date,day_idx,cash,n_open_positions,realized_dollars_so_far,nav,log_ret
2024-08-15,3288,0.0,4,0.0,110877.46614808518,-0.0030113840397270543
2024-08-16,3289,0.0,4,0.0,112521.23330014493,0.014716261300301764
2024-08-19,3290,0.0,4,0.0,112481.72510883807,-0.0003511793088612202
2024-08-20,3291,0.0,4,0.0,113538.78756942811,0.009353754269102472
2024-08-21,3292,56758.537070009865,2,0.0,113465.70361366149,-0.0006438987872954462
2024-08-22,3293,86058.34560437701,1,0.0,114726.79846156371,0.011053015987079003
2024-08-23,3294,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-08-26,3295,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-08-27,3296,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-08-28,3297,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-08-29,3298,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-08-30,3299,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-03,3300,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-04,3301,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-05,3302,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-06,3303,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-09,3304,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-10,3305,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-11,3306,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-12,3307,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-13,3308,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-16,3309,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-17,3310,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-18,3311,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-19,3312,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-20,3313,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-23,3314,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-24,3315,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-25,3316,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-26,3317,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-27,3318,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-09-30,3319,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-01,3320,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-02,3321,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-03,3322,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-04,3323,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-07,3324,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-08,3325,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-09,3326,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-10,3327,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-11,3328,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-14,3329,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-15,3330,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-16,3331,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-17,3332,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-18,3333,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-21,3334,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-22,3335,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-23,3336,114726.79846156371,0,0.0,114726.79846156371,0.0
2024-10-24,3337,57363.399230781855,2,0.0,114726.79846156371,0.0
2024-10-25,3338,57363.399230781855,2,0.0,115087.91345252816,0.0031426646724626423
2024-10-28,3339,57363.399230781855,2,0.0,116024.1758044948,0.008102280385834092
2024-10-29,3340,57363.399230781855,2,0.0,117419.25791122032,0.01195234916464197
2024-10-30,3341,57363.399230781855,2,0.0,117741.51295741263,0.00274072284013899
2024-10-31,3342,0.0,4,0.0,118561.90171372317,0.00694354801056856
2024-11-01,3343,0.0,4,0.0,115844.689851047,-0.023184788104153004
2024-11-04,3344,0.0,4,0.0,116097.11663605497,0.002176639808860492
2024-11-05,3345,0.0,4,0.0,118042.03786838215,0.016613760925122196
2024-11-06,3346,0.0,4,0.0,119528.93788446931,0.012517685940602964
2024-11-07,3347,61216.91513529616,2,0.0,118599.85972247287,-0.007803196300623653
2024-11-08,3348,61216.91513529616,2,0.0,118611.41156966642,9.73971189459276e-05
2024-11-11,3349,61216.91513529616,2,0.0,119383.91153836215,0.006491746741462345
2024-11-12,3350,61216.91513529616,2,0.0,120669.77595934406,0.010713242799696505
2024-11-13,3351,61216.91513529616,2,0.0,119873.88200004425,-0.006617483665722451
2024-11-14,3352,119116.51595541739,0,0.0,119116.51595541739,-0.0063380670224095015
2024-11-15,3353,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-18,3354,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-19,3355,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-20,3356,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-21,3357,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-22,3358,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-25,3359,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-26,3360,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-27,3361,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-11-29,3362,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-02,3363,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-03,3364,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-04,3365,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-05,3366,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-06,3367,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-09,3368,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-10,3369,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-11,3370,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-12,3371,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-13,3372,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-16,3373,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-17,3374,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-18,3375,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-19,3376,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-20,3377,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-23,3378,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-24,3379,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-26,3380,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-27,3381,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-30,3382,119116.51595541739,0,0.0,119116.51595541739,0.0
2024-12-31,3383,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-02,3384,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-03,3385,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-06,3386,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-07,3387,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-08,3388,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-10,3389,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-13,3390,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-14,3391,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-15,3392,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-16,3393,119116.51595541739,0,0.0,119116.51595541739,0.0
2025-01-17,3394,89337.38696656303,1,0.0,119116.51595541739,0.0
2025-01-21,3395,89337.38696656303,1,0.0,120215.30808195616,0.009182229326862107
2025-01-22,3396,89337.38696656303,1,0.0,120711.93729168526,0.004122654640929793
2025-01-23,3397,89337.38696656303,1,0.0,120978.87549190149,0.002208923919632393
2025-01-24,3398,89337.38696656303,1,0.0,120916.79684068536,-0.0005132679884709562
2025-01-27,3399,89337.38696656303,1,0.0,120954.04403138874,0.00030799240506644034
2025-01-28,3400,89337.38696656303,1,0.0,121103.03279433376,0.0012310219037081286
2025-01-29,3401,89337.38696656303,1,0.0,120935.42043603705,-0.0013850062488261732
2025-01-30,3402,89337.38696656303,1,0.0,120687.10583117249,-0.002055393560532304
2025-01-31,3403,89337.38696656303,1,0.0,120916.79684068536,0.001901385500583988
2025-02-03,3404,120153.22943074003,0,0.0,120153.22943074003,-0.006334839509187026
2025-02-04,3405,120153.22943074003,0,0.0,120153.22943074003,0.0
2025-02-05,3406,60076.61471537002,2,0.0,120153.22943074003,0.0
2025-02-06,3407,30163.79873000057,3,0.0,119651.26394147781,-0.004186462191289725
2025-02-07,3408,30163.79873000057,3,0.0,119032.39579511271,-0.0051856883198300695
2025-02-10,3409,30163.79873000057,3,0.0,118938.65942660469,-0.0007877964256502174
2025-02-11,3410,30163.79873000057,3,0.0,117369.70872559329,-0.013279036777272556
2025-02-12,3411,30163.79873000057,3,0.0,116751.90611113858,-0.005277633582680108
2025-02-13,3412,30163.79873000057,3,0.0,116249.43524897535,-0.004313036467132161
2025-02-14,3413,30163.79873000057,3,0.0,118641.48393401304,0.020368019241784538
2025-02-18,3414,30163.79873000057,3,0.0,118790.68276166699,0.001256770296698034
2025-02-19,3415,30163.79873000057,3,0.0,118365.15364115481,-0.0035886072519554437
2025-02-20,3416,89945.06397353139,1,0.0,117895.32601900437,-0.003977205516077965
2025-02-21,3417,117353.38964041806,0,0.0,117353.38964041806,-0.0046073563950414335
2025-02-24,3418,117353.38964041806,0,0.0,117353.38964041806,0.0
2025-02-25,3419,117353.38964041806,0,0.0,117353.38964041806,0.0
2025-02-26,3420,88015.04223031354,1,0.0,117353.38964041806,0.0
2025-02-27,3421,88015.04223031354,1,0.0,117644.28417730509,0.0024757239570985345
2025-02-28,3422,88015.04223031354,1,0.0,116980.04905831705,-0.005662131326506389
2025-03-03,3423,88015.04223031354,1,0.0,117379.83459831688,0.003411726627867881
2025-03-04,3424,88015.04223031354,1,0.0,117669.17354944517,0.002461946974828972
2025-03-05,3425,88015.04223031354,1,0.0,116553.81856041838,-0.009523944764817051
2025-03-06,3426,88015.04223031354,1,0.0,116978.49347255829,0.00363697320136222
2025-03-07,3427,88015.04223031354,1,0.0,115332.68373979634,-0.014169247367728281
2025-03-10,3428,88015.04223031354,1,0.0,115163.12489209212,-0.0014712534626642047
2025-03-11,3429,88015.04223031354,1,0.0,113752.20860890204,-0.012327126612623229
2025-03-12,3430,114097.54864734548,0,0.0,114097.54864734548,0.0030312984050497515
2025-03-13,3431,114097.54864734548,0,0.0,114097.54864734548,0.0
2025-03-14,3432,114097.54864734548,0,0.0,114097.54864734548,0.0
