date,ORCL,QCOM,MU,INTC,MSFT,JDSU
2000-08-22,33.1774625474,17.2890456312,85.7977445348,41.0019547399,21.6696808168,996.0
2000-08-23,32.9074688359,17.2310389444,88.4789240515,42.4230678253,21.5176128812,984.0
2000-08-24,33.6261285679,18.5102390362,90.2436276607,42.2070586363,21.6301431535,1000.96
2000-08-25,33.6023055934,17.9759669215,86.7727189045,41.4623953795,21.478075218,1002.48
2000-08-28,34.4440506939,18.1286160971,87.0749609591,41.9967338997,21.687928969,988.48
2000-08-29,34.8411002696,18.3942256627,85.0665137575,42.0990540418,21.5753986967,972.0
2000-08-30,35.0396250575,17.8019468613,81.5956050013,41.7807247107,21.2895109779,944.0
2000-08-31,36.1076884162,18.2812652727,79.5969075434,42.5651791338,21.2317251624,995.84
2000-09-01,36.7787021992,18.0889273114,76.3502428923,42.0308406137,21.3472967934,990.48
2000-09-05,36.1553343653,18.1286160971,76.5354880225,39.3648324655,21.3260072824,955.04
2000-09-06,35.4366746332,18.8704910906,68.24820588,37.3468518842,21.1191948901,934.0
2000-09-07,36.2069508101,19.5787832655,71.660616174,38.3359465917,21.3077591301,959.04
2000-09-08,34.3686112745,18.7941665028,67.2732315102,37.1649494093,21.0796572268,914.48
2000-09-11,33.1298165983,17.746993158,63.256337107,36.7727221977,20.9275892913,878.0
2000-09-12,31.5177953208,18.7575307007,61.7256273466,36.9148335063,20.7177355402,825.52
2000-09-13,32.4826257898,19.5390944799,64.7772971238,34.8172705922,20.7572732034,838.48
2000-09-14,33.7253909619,19.1208357387,61.423385292,33.8963893129,20.0151816779,855.52
2000-09-15,31.0929522748,20.2260157702,57.7672314055,32.6969698688,19.5224815667,828.96
2000-09-18,30.3623810555,21.3128779006,57.0360006283,31.7249285184,19.1605598801,782.48
2000-09-19,31.4900018505,23.6606222217,64.0460663465,34.3227232385,19.7688316223,863.52
2000-09-20,31.7401430832,22.9126412612,64.7772971238,35.8461564661,19.540729719,856.96
2000-09-21,31.3430935075,21.9631633888,53.7503370023,34.9480129961,19.5224815667,828.0
2000-09-22,32.0538122481,22.2867796411,51.4298980024,27.2512645256,19.2365938479,856.0
2000-09-25,31.2676540881,21.3708845874,45.5800517841,25.7960447261,18.6283221056,854.48
2000-09-26,31.5416182954,22.4027930146,48.3879779689,24.6193630914,19.06627776,824.48
2000-09-27,31.7163201087,22.250143839,50.3379267083,24.9433768749,18.4397578656,782.0
2000-09-28,32.3515994299,22.8393696569,48.2612313008,25.261706206,18.6465702579,779.04
2000-09-29,31.2676540881,21.7525075264,44.8488210068,23.6245839316,18.3424343868,757.52
2000-10-02,31.2676540881,21.7708254275,41.3194137885,22.8117072468,17.9835540589,719.52
2000-10-03,27.5949455127,22.1341304655,41.9823963599,22.9140273889,17.2019248701,700.96
2000-10-04,27.050987594,23.9476026719,45.7652969144,23.8746998347,16.8612926945,752.48
2000-10-05,27.1224565176,25.3031273514,39.9739491583,23.3062546005,16.8430445422,760.48
2000-10-06,26.8524628061,23.7552647106,39.788704028,22.7037026523,16.897788999,731.04
2000-10-09,26.5030591795,24.2345831221,38.7552311961,22.2034708462,16.4811228556,748.48
2000-10-10,25.6613140789,24.3292256109,35.957054755,21.350802995,16.5936531279,724.96
2000-10-11,24.7163360887,21.523533763,36.8052824567,20.1115923845,16.9555748145,687.04
2000-10-12,25.0141232705,19.6551078533,34.670088587,21.1063715443,16.5389086711,690.48
2000-10-13,28.293752766,21.3525666863,35.4695675702,22.9538185553,16.3473030723,755.04
2000-10-16,27.4440666739,23.5079730461,32.8468865157,20.2878104071,15.3223651867,755.52
2000-10-17,26.7532004122,22.6500846791,28.2742567217,20.5720330242,15.3406133389,735.52
2000-10-18,26.6499675225,22.8393696569,27.845267999,21.7089234925,15.7390313301,696.0
2000-10-19,28.8893271296,23.5079730461,33.8218608854,23.8405931206,18.8199277044,719.52
2000-10-20,27.9919950884,22.8210517558,34.0071060156,24.4772517829,19.8266174378,819.04
2000-10-23,27.0470170982,22.4791176024,35.4013193643,24.6193630914,18.8959616722,809.52
2000-10-24,28.4366906132,21.6761829386,32.6616413854,23.8746998347,18.7043560734,760.48
2000-10-25,27.3011288267,20.0733665946,29.4344762217,23.4824726231,18.6283221056,568.0
2000-10-26,27.0470170982,21.9234746031,30.838439314,25.4038175146,19.5985155345,595.52
2000-10-27,27.1502499879,22.8607405414,29.4929746838,26.3644899603,20.5869571156,618.0
2000-10-30,25.1173561602,20.7999766705,31.8719121459,25.5800355371,21.003623259,570.48
2000-10-31,26.2052719977,19.8779756498,33.8803593476,25.5800355371,20.9458374435,651.52
2000-11-01,24.9188313723,18.7758486017,34.7383367929,25.511822109,21.1739393469,628.48
2000-11-02,23.4735709167,19.1757894419,34.4263449946,26.5407079829,21.3837930979,644.96
2000-11-03,24.0691452803,21.523533763,34.8553337173,26.1257429619,20.7572732034,650.0
2000-11-06,22.1871302914,21.5418516641,33.2368762635,26.4783324403,21.1374430423,619.52
2000-11-07,21.0912734624,22.5157534045,35.0405788475,26.2679161387,21.4415789134,592.96
2000-11-08,19.7015999473,21.0839041372,33.7633624232,24.277491664,21.1191948901,548.0
2000-11-09,21.5915559278,22.1921371522,31.7451654779,23.5325042178,21.5541091858,590.0
2000-11-10,20.2018824128,22.5737600913,29.3759777595,21.0416301609,20.4896336369,548.48
2000-11-13,19.6539539983,22.9156942447,31.5696700913,21.7183744823,20.2067872767,544.0
2000-11-14,22.536533918,24.5398814733,32.544644461,23.2822794267,20.9275892913,604.96
2000-11-15,22.9335834937,25.7030681916,34.12410294,23.6007473426,21.3077591301,600.48
2000-11-16,21.7424347666,26.8845728109,32.3009008686,22.7477082821,20.9671269545,546.0
2000-11-17,22.8779965531,27.1135465743,32.9053849778,23.6007473426,21.003623259,560.96
2000-11-20,19.6539539983,25.8373994661,34.6115901248,23.390331041,20.4348891801,516.48
