n,total,annualized,max_dd,mean_month,turnover_month,spy_total,by_year,2020,2022,rotation,floor,cap,step,cost_bps,block,overlay,mean_theme_turnover,mean_exposure
43,4.1535915823126,0.5802593607257782,-0.1896683124509212,0.04518946051519422,,1.0430458054963405,"{'2023': 0.774031707071668, '2024': 0.8703105113706124, '2025': 0.21805686927899504, '2026': 0.2751678084883138}",,,price_plus_capex,0.1,0.9,0.05,50,2023_2026,False,0.018217054263565888,
71,1.3689470857949742,0.15692480140352072,-0.1740311111460363,0.013327266629152927,,1.0328464184664052,"{'2014': 0.23079833655319026, '2015': 0.04775795756255752, '2016': 0.1609566121901982, '2017': 0.22626481133841136, '2018': -0.11657291069263875, '2019': 0.4606175815060789}",,,price_plus_capex,0.1,0.9,0.05,100,2014_2019,False,0.030073913061680554,
36,0.525974515815858,0.1512838882989087,-0.4449887358066408,0.017916087851338858,,0.24705270054961392,"{'2020': 0.9966390737063908, '2021': 0.23530495094505754, '2022': -0.3813093782541227}",0.9966390737063908,-0.3813093782541227,price_plus_capex,0.1,0.9,0.05,100,2020_2022,False,0.02919927787618009,
43,4.1339137649548015,0.5785731698611556,-0.1896683124509213,0.04509837524387639,,1.0430458054963405,"{'2023': 0.7702556471190112, '2024': 0.8694760096340908, '2025': 0.2176377229098132, '2026': 0.274015143986168}",,,price_plus_capex,0.1,0.9,0.05,100,2023_2026,False,0.018217054263565888,
71,1.3649889277876315,0.1565978618257886,-0.17879865535637385,0.013308416604179554,,1.0328464184664052,"{'2014': 0.24492252965992223, '2015': 0.038268342840027225, '2016': 0.17131490182555265, '2017': 0.23035022802665295, '2018': -0.12167210723831845, '2019': 0.44549993182081526}",,,price_plus_capex,0.1,0.9,0.1,0,2014_2019,False,0.04336800354858277,
36,0.5986892094627416,0.1692876101253118,-0.4332693827462437,0.019237141808093643,,0.24705270054961392,"{'2020': 1.0125858732631365, '2021': 0.25736455193222185, '2022': -0.36824540226088887}",1.0125858732631365,-0.36824540226088887,price_plus_capex,0.1,0.9,0.1,0,2020_2022,False,0.030596600375250187,
43,4.516112832612323,0.610524694094126,-0.1896683124509212,0.046995274240100214,,1.0430458054963405,"{'2023': 0.856034838558525, '2024': 0.8418823528144639, '2025': 0.2322405436127326, '2026': 0.3094521599753344}",,,price_plus_capex,0.1,0.9,0.1,0,2023_2026,False,0.02209302325581396,
71,1.3466852643381912,0.15508005984655004,-0.18010264740420812,0.01319705163251585,,1.0328464184664052,"{'2014': 0.2442167888666389, '2015': 0.03684880406308566, '2016': 0.16941034831373547, '2017': 0.23004856283015007, '2018': -0.12306681097939565, '2019': 0.44207437731982036}",,,price_plus_capex,0.1,0.9,0.1,25,2014_2019,False,0.04336800354858277,
36,0.5941813848509836,0.1681875619584121,-0.43381988247626857,0.01915719916895875,,0.24705270054961392,"{'2020': 1.0101457842427264, '2021': 0.25656172928351006, '2022': -0.36885906371645405}",1.0101457842427264,-0.36885906371645405,price_plus_capex,0.1,0.9,0.1,25,2020_2022,False,0.030596600375250187,
43,4.5033072623864525,0.6094804315140419,-0.1896683124509212,0.04694004168196067,,1.0430458054963405,"{'2023': 0.8531018709728664, '2024': 0.8416365111738282, '2025': 0.23182139724355078, '2026': 0.3090999506532366}",,,price_plus_capex,0.1,0.9,0.1,25,2023_2026,False,0.02209302325581396,
71,1.3285187061932717,0.15356386831775914,-0.18140489607331478,0.013085686660852145,,1.0328464184664052,"{'2014': 0.24351125482814862, '2015': 0.03543085919201583, '2016': 0.1675084453710105, '2017': 0.22974689763364742, '2018': -0.12445965006429094, '2019': 0.43865604388240653}",,,price_plus_capex,0.1,0.9,0.1,50,2014_2019,False,0.04336800354858277,
36,0.5896852747430099,0.16708830490648796,-0.4343699678549202,0.019077256529823852,,0.24705270054961392,"{'2020': 1.0077081177333378, '2021': 0.2557592347289397, '2022': -0.36947226327993665}",1.0077081177333378,-0.36947226327993665,price_plus_capex,0.1,0.9,0.1,50,2020_2022,False,0.030596600375250187,
43,4.49052849247565,0.6084366066919227,-0.1896683124509213,0.04688480912382113,,1.0430458054963405,"{'2023': 0.8501729078409845, '2024': 0.8413906695331934, '2025': 0.23140225087436916, '2026': 0.3087477589408387}",,,price_plus_capex,0.1,0.9,0.1,50,2023_2026,False,0.02209302325581396,
71,1.2925929409620576,0.15053631136842527,-0.18400417089977172,0.01286295671752473,,1.0328464184664052,"{'2014': 0.24210080698313075, '2015': 0.03259974554615774, '2016': 0.16371257889758017, '2017': 0.22914356724064167, '2018': -0.1272397424203513, '2019': 0.43184098688188777}",,,price_plus_capex,0.1,0.9,0.1,100,2014_2019,False,0.04336800354858277,
36,0.5807280865601563,0.16489216254203587,-0.43546889646055176,0.018917371251554058,,0.24705270054961392,"{'2020': 1.0028400446875851, '2021': 0.2541552296493559, '2022': -0.37069727773664407}",1.0028400446875851,-0.37069727773664407,price_plus_capex,0.1,0.9,0.1,100,2020_2022,False,0.030596600375250187,
43,4.465051153340223,0.6063502699478143,-0.18966831245092108,0.04677434400754206,,1.0430458054963405,"{'2023': 0.8443269764492807, '2024': 0.8408989862519227, '2025': 0.23056395813600572, '2026': 0.30804342834514364}",,,price_plus_capex,0.1,0.9,0.1,100,2023_2026,False,0.02209302325581396,
71,1.320260936087347,0.15287141828152961,-0.18191869746929368,0.013038473330410413,,1.0328464184664052,"{'2014': 0.24469849776307107, '2015': 0.029094829787174703, '2016': 0.17637113143738503, '2017': 0.23035022802665295, '2018': -0.12500919385202536, '2019': 0.4303445467892304}",,,price_plus_capex,0.1,0.9,0.15,0,2014_2019,False,0.051692473705676575,
36,0.6089617092341979,0.17178671400216183,-0.43677263838633507,0.019518351124639073,,0.24705270054961392,"{'2020': 1.0084266542185811, '2021': 0.27595175069262123, '2022': -0.3721506048215121}",1.0084266542185811,-0.3721506048215121,price_plus_capex,0.1,0.9,0.15,0,2020_2022,False,0.03337437815302797,
43,4.702175117198651,0.6255040677599886,-0.1896683124509212,0.04784671218507928,,1.0430458054963405,"{'2023': 0.8973652414311397, '2024': 0.8418823528144639, '2025': 0.24369409817508503, '2026': 0.3119405329287348}",,,price_plus_capex,0.1,0.9,0.15,0,2023_2026,False,0.022093023255813957,
71,1.298444714173565,0.15103213092384227,-0.18341438046821157,0.012903129393718763,,1.0328464184664052,"{'2014': 0.24400155280991287, '2015': 0.02720874186292166, '2016': 0.17402699926631127, '2017': 0.23004856283015007, '2018': -0.1266089234497032, '2019': 0.4260847634264118}",,,price_plus_capex,0.1,0.9,0.15,25,2014_2019,False,0.051692473705676575,
36,0.6043220910398082,0.17065930431216847,-0.4372941594204427,0.019434896472612682,,0.24705270054961392,"{'2020': 1.0057341449155492, '2021': 0.275161046182391, '2022': -0.37273196270316655}",1.0057341449155492,-0.37273196270316655,price_plus_capex,0.1,0.9,0.15,25,2020_2022,False,0.03337437815302797,
43,4.689082439446554,0.6244616337983044,-0.1896683124509212,0.04779147962693974,,1.0430458054963405,"{'2023': 0.8941742296243598, '2024': 0.8418823528144639, '2025': 0.2431177719174602, '2026': 0.3117411451682033}",,,price_plus_capex,0.1,0.9,0.15,25,2023_2026,False,0.022093023255813957,
71,1.2768260628836012,0.1491951333682413,-0.18490789803321028,0.01276778545702711,,1.0328464184664052,"{'2014': 0.24330476854437322, '2015': 0.025325416076715568, '2016': 0.1716867493192198, '2017': 0.22974689763364742, '2018': -0.12820633697590367, '2019': 0.4218362090001617}",,,price_plus_capex,0.1,0.9,0.15,50,2014_2019,False,0.051692473705676575,
36,0.5996943123877436,0.1695326042076042,-0.4378153628239303,0.019351441820586283,,0.24705270054961392,"{'2020': 1.0030442968256765, '2021': 0.2743705834249368, '2022': -0.3733129665107713}",1.0030442968256765,-0.3733129665107713,price_plus_capex,0.1,0.9,0.15,50,2020_2022,False,0.03337437815302797,
43,4.6760151441305595,0.6234194948438552,-0.1896683124509212,0.0477362470688002,,1.0430458054963405,"{'2023': 0.8909874756531595, '2024': 0.8418823528144639, '2025': 0.24254144565983538, '2026': 0.31154175740767154}",,,price_plus_capex,0.1,0.9,0.15,50,2023_2026,False,0.022093023255813957,
71,1.2341746027241083,0.14552799940066707,-0.18788844617169698,0.012497097583643804,,1.0328464184664052,"{'2014': 0.2419116820514733, '2015': 0.021567038794563897, '2016': 0.16701787553688519, '2017': 0.22914356724064167, '2018': -0.13139422577178472, '2019': 0.4133726838556675}",,,price_plus_capex,0.1,0.9,0.15,100,2014_2019,False,0.051692473705676575,
36,0.5904741684638946,0.16728133187207916,-0.438856817120469,0.01918453251653349,,0.24705270054961392,"{'2020': 0.9976725773707111, '2021': 0.27279038316835647, '2022': -0.3744739123290186}",0.9976725773707111,-0.3744739123290186,price_plus_capex,0.1,0.9,0.15,100,2020_2022,False,0.03337437815302797,
43,4.649956539539393,0.6213361019819832,-0.1896683124509213,0.04762578195252114,,1.0430458054963405,"{'2023': 0.8846267243292785, '2024': 0.8418823528144639, '2025': 0.2413887931445855, '2026': 0.3111429818866087}",,,price_plus_capex,0.1,0.9,0.15,100,2023_2026,False,0.022093023255813957,
71,0.995476137805746,0.12385968123340008,-0.1729842287289508,0.010793781573629663,,1.0328464184664052,"{'2014': 0.19369037325273353, '2015': 0.04661933851537836, '2016': 0.06607735168724127, '2017': 0.1752963779442822, '2018': -0.11618396721294777, '2019': 0.44234150828646945}",,,price_plus_capex,0.15,0.5,0.05,0,2014_2019,False,0.025627142032838134,
36,0.6629999369664781,0.1847609853335599,-0.45376508581849007,0.021585790431682548,,0.24705270054961392,"{'2020': 1.2411666129741206, '2021': 0.21472678931483768, '2022': -0.38914310649570294}",1.2411666129741206,-0.38914310649570294,price_plus_capex,0.15,0.5,0.05,0,2020_2022,False,0.020344134494839253,
43,3.3884132943811442,0.510944843295005,-0.19355781066903877,0.04162859631671361,,1.0430458054963405,"{'2023': 0.8484128432592519, '2024': 0.7192903744736818, '2025': 0.18928309772065677, '2026': 0.16111187350873246}",,,price_plus_capex,0.15,0.5,0.05,0,2023_2026,False,0.014719713637737301,
71,0.986409813923254,0.12299502987218447,-0.17342337001968855,0.010728826398279061,,1.0328464184664052,"{'2014': 0.1934225272953798, '2015': 0.04587652774834905, '2016': 0.06494783343880339, '2017': 0.1749881811109173, '2018': -0.11701128239867664, '2019': 0.4403804477347457}",,,price_plus_capex,0.15,0.5,0.05,25,2014_2019,False,0.025627142032838134,
36,0.659946296163529,0.18403537874494091,-0.4540187327679517,0.0215331997181787,,0.24705270054961392,"{'2020': 1.239719861112099, '2021': 0.2140549646937866, '2022': -0.3895332883034395}",1.239719861112099,-0.3895332883034395,price_plus_capex,0.15,0.5,0.05,25,2020_2022,False,0.020344134494839253,
43,3.3816053911508837,0.5102903423769749,-0.19359901619094788,0.04159227216690562,,1.0430458054963405,"{'2023': 0.8467369052809981, '2024': 0.7191200914682612, '2025': 0.18899180129654125, '2026': 0.16076193586202758}",,,price_plus_capex,0.15,0.5,0.05,25,2023_2026,False,0.014719713637737301,
