gamma,min_child_weight,max_depth,n_estimators,auc_train,auc_val,ap_train,ap_val,train_s,a_n,a_avg_pnl_pct,a_hit_pct,a_sharpe,a_recall_pct,b_n,b_avg_pnl_pct,b_hit_pct,b_sharpe,b_recall_pct,c_n,c_avg_pnl_pct,c_hit_pct,c_sharpe,c_recall_pct
10,100,2,200,0.6676022430530845,0.6412982479440424,0.21143703484842635,0.2018917661541258,0.2346820831298828,122,0.7973619498840595,53.278688524590166,0.7486741536163081,9.192825112107624,59,1.224788342787808,52.54237288135594,1.1257716906379587,6.278026905829597,13,-0.8098680866438193,38.46153846153847,-0.6565840006899515,1.345291479820628
20,20,4,300,0.6667022777154491,0.6362888861111545,0.21889761726559948,0.20164493232441313,0.32552456855773926,85,1.0662422768789035,52.94117647058824,0.9921191786717595,6.502242152466367,40,1.199435401742853,47.5,0.9956427158718069,4.260089686098654,8,2.4111850770816847,62.5,2.1912902965466365,0.672645739910314
10,50,4,200,0.6839271124259724,0.6371466201048943,0.226844286900023,0.20399618735579775,0.2636585235595703,152,1.1994390575262808,56.57894736842105,1.14391900161185,11.210762331838566,77,1.1970565479959632,53.246753246753244,1.105065182847336,7.847533632286996,23,2.0203341115165387,56.52173913043478,1.4154154114080715,2.4663677130044843
5,50,4,200,0.7183501721709757,0.6430172966047406,0.2576841665829957,0.2101854100954941,0.28305768966674805,241,0.8890052527698332,53.941908713692946,0.7936802739243416,15.919282511210762,115,1.1829817263962543,55.65217391304348,1.0468801121756899,10.538116591928251,40,1.198092087951018,52.5,1.0318984972876084,4.484304932735426
5,50,2,500,0.7047897356193664,0.646532215642464,0.2474855716698245,0.20947574305917877,0.5631012916564941,251,1.045760430896635,53.78486055776892,0.9007074480798509,16.143497757847534,117,1.1705233217895543,52.991452991452995,0.9712261999056374,10.762331838565023,39,2.085011411046977,58.97435897435898,1.749690850888972,4.708520179372197
20,50,4,500,0.664319088428353,0.6362371291073576,0.21067754614361933,0.20331353108335232,0.633190393447876,95,1.414344066329206,56.84210526315789,1.4016432941745813,7.623318385650224,45,1.168191048535511,53.333333333333336,1.0301323789260144,4.932735426008969,5,-0.6803752930805772,40.0,-0.5635285733736735,0.4484304932735426
10,20,3,500,0.6923057924501098,0.6412858783456509,0.23898063277992573,0.20548727196393393,0.5743966102600098,186,1.36706081068967,57.52688172043011,1.2611488516188056,13.67713004484305,86,1.1626828933598925,52.32558139534884,1.1007443587669723,8.295964125560538,25,0.3596728574780487,48.0,0.33695249895044593,2.242152466367713
20,20,2,300,0.6639141176801848,0.6371794971953564,0.21431972043583256,0.20002537077541294,0.32058072090148926,70,1.0632506831139357,54.285714285714285,0.9162964147562264,5.15695067264574,33,1.141201031820366,48.484848484848484,0.8853357293669879,2.914798206278027,5,0.18214337800800187,40.0,0.13954485693779733,0.4484304932735426
10,20,4,300,0.6973582629688947,0.6390967849460686,0.24463706518805683,0.20455067643528674,0.3406698703765869,188,1.0522906142916066,55.85106382978723,0.9612872815669928,12.780269058295964,93,1.1003042837718597,53.76344086021505,0.9787830823312269,8.74439461883408,28,2.1548050721575858,53.57142857142857,1.5760889421592403,2.4663677130044843
5,50,4,500,0.729896465603914,0.6439248345077941,0.26968863394424625,0.21018523937616485,0.6445567607879639,263,0.9232232368146562,55.13307984790875,0.8393234107160495,17.48878923766816,124,1.0829878361328484,56.451612903225815,0.9864467858395228,11.659192825112108,49,1.6190733049237576,55.10204081632652,1.4858423689829736,4.932735426008969
3,50,2,300,0.7135978418065985,0.6465146377921178,0.25809576968673126,0.2113634047356569,0.7657425403594971,257,1.0583385933598237,54.08560311284047,0.9520718172292746,16.81614349775785,117,1.0688552807559402,52.13675213675214,0.9855389151791609,10.762331838565023,44,1.7074764170278738,50.0,1.4450784292288887,4.708520179372197
20,50,3,300,0.6640221038113552,0.6360613506038968,0.20980483105467088,0.20091118161099591,0.34087252616882324,89,0.9868078961244969,53.93258426966292,0.9350445942505069,7.174887892376682,45,1.0591170951168218,48.888888888888886,0.9314629825939849,5.15695067264574,5,-0.6803752930805772,40.0,-0.5635285733736735,0.4484304932735426
20,50,3,500,0.6643571976109184,0.636578920641865,0.2102189656346175,0.20181951831136047,0.5366413593292236,94,1.08204448502847,55.319148936170215,1.0389873668266785,7.623318385650224,46,1.0466262354769023,50.0,0.9308280260685805,5.15695067264574,6,0.739750587120817,50.0,0.6254592154138474,0.4484304932735426
20,50,2,200,0.6592535709760465,0.6357491810023801,0.20970704224838796,0.2002298806046301,0.22251582145690918,68,1.5213512918738576,57.35294117647059,1.4072053921916687,4.932735426008969,32,0.9917859260762203,50.0,0.78017972450114,3.1390134529147984,3,-0.8776889805368506,33.33333333333333,-1.3668088300569428,0.4484304932735426
20,50,2,300,0.6614651779164811,0.6361824424618365,0.21111697875576388,0.19997759299692464,0.32361626625061035,70,1.0547445778512636,55.714285714285715,0.9291688283118655,4.932735426008969,32,0.9917859260762203,50.0,0.78017972450114,3.1390134529147984,3,-0.8776889805368506,33.33333333333333,-1.3668088300569428,0.4484304932735426
10,20,4,200,0.6947442339835844,0.6383516794008426,0.243411114866855,0.2043384674664302,0.24977803230285645,182,1.1177938239208007,55.494505494505496,1.0249285699216002,13.228699551569505,90,0.9803978487852631,52.22222222222223,0.8624024119145508,8.74439461883408,28,2.051581448318544,50.0,1.4987195272875555,2.690582959641256
5,50,4,300,0.7232678344906065,0.643809601933303,0.26289974448997544,0.2100474352512018,0.3742032051086426,242,0.958544751239041,54.132231404958674,0.8493612941961894,15.246636771300448,114,0.9303404709203797,53.50877192982456,0.826339320837083,10.089686098654708,44,1.6250978615599456,54.54545454545454,1.44078719941352,4.708520179372197
5,50,3,500,0.7215926992515551,0.6435713244063895,0.2593422251170927,0.20749776089821104,0.6098487377166748,252,1.1249824259075094,54.761904761904766,1.0057288472902057,16.367713004484305,117,0.9267766104617218,52.13675213675214,0.8284752424321268,10.089686098654708,42,1.7689318289454625,54.761904761904766,1.5485849096517885,4.260089686098654
3,50,4,300,0.7730093595666913,0.6434131237532746,0.3221993468354815,0.20540726196795572,0.5724198818206787,309,0.8445937167985581,54.36893203883495,0.7502893315321038,19.506726457399104,145,0.9221232899034133,55.172413793103445,0.8265826319591194,12.10762331838565,55,1.906160370135109,58.18181818181818,1.7355818413832897,5.381165919282512
3,100,4,500,0.7467594754720077,0.6443297760972485,0.29242004262015475,0.20008984863615467,0.6673054695129395,321,0.9848320808657721,57.009345794392516,0.9403318159165822,19.282511210762333,159,0.9060174082423471,56.60377358490566,0.8479656956613302,13.004484304932735,70,1.4576286292518144,57.14285714285714,1.3326585459588147,6.278026905829597
10,20,2,500,0.6854832474946246,0.6423180887798627,0.23413559484136032,0.20324531618089012,0.5566961765289307,181,1.0961890779434182,55.80110497237569,0.9568140423049343,12.780269058295964,82,0.8182694949452516,51.21951219512195,0.7498266294707094,7.623318385650224,23,2.493992008649254,56.52173913043478,1.6644446993512716,2.4663677130044843
3,50,2,500,0.7301190826998389,0.646653958531898,0.2740151854505571,0.20754818312173676,0.9389100074768066,278,1.129815155080076,55.39568345323741,1.0274319675658252,17.48878923766816,133,0.8143758523586314,54.13533834586466,0.7559241256799855,11.434977578475337,52,1.4001971313341983,50.0,1.1487346657761581,5.15695067264574
3,50,4,500,0.7980924230206649,0.6399431258886581,0.3605003949405681,0.2004117988281333,1.0156304836273193,346,0.9942173261499438,56.936416184971094,0.894507397030538,19.730941704035875,158,0.7630340978703126,56.32911392405063,0.6778348608984152,12.331838565022421,67,1.6953552926154518,58.2089552238806,1.608602092566408,5.829596412556054
5,20,2,200,0.7015909005952313,0.6401006755102785,0.2517344637147379,0.20420353602499208,0.2371525764465332,216,0.9067444573984578,55.092592592592595,0.7950448908961851,14.798206278026907,97,0.7149604970054715,51.546391752577314,0.6124541927881029,9.192825112107624,31,1.8787526003483677,51.61290322580645,1.3803993048465315,3.1390134529147984
5,20,3,500,0.7405997147394181,0.6441409769639016,0.2863031143194899,0.20467221147222486,0.5831882953643799,283,1.2292465595701856,56.8904593639576,1.086784371858024,17.040358744394617,135,0.6871991989236529,53.333333333333336,0.6004021487202309,10.538116591928251,53,1.6038847162533207,52.83018867924528,1.445869937259336,5.15695067264574
10,20,4,500,0.697612708514271,0.6396309562871414,0.2448459733394508,0.2045024706233598,0.6629502773284912,205,0.9689684649331756,55.60975609756098,0.8607599621625298,14.125560538116591,98,0.6788056877401123,52.04081632653062,0.5871737058189161,8.968609865470851,31,1.7559521666676194,51.61290322580645,1.32548599238966,2.914798206278027
3,20,3,300,0.7731674095125375,0.6430218538252006,0.32682202848406516,0.2017320620366375,0.5307097434997559,309,1.190440932299031,56.957928802588995,1.052701001490668,18.161434977578477,145,0.6240350876732677,52.41379310344828,0.5647456818853366,11.434977578475337,59,1.3873535223581075,50.847457627118644,1.1567836419680269,5.605381165919283
3,20,4,300,0.8112312919109983,0.6416175788919964,0.3777897298142311,0.19811842670716892,0.6481678485870361,325,0.9774645484261383,56.00000000000001,0.8988349606211326,17.713004484304935,143,0.598928123517453,52.44755244755245,0.5486958461690203,11.434977578475337,67,0.23223844231200697,49.25373134328358,0.18131062154277713,5.381165919282512
5,20,2,300,0.7059288239409167,0.6409157669411416,0.2564218650843334,0.20392762229663802,0.3592414855957031,230,0.9098475461259967,54.78260869565217,0.7980366210233368,15.695067264573993,101,0.575034759321956,50.495049504950494,0.5016028907362851,9.641255605381167,37,2.1956316892879006,54.054054054054056,1.7075942794715242,4.0358744394618835
